k	kmax4	kmax12	kmax16
-10	2.100002006069463e-6	4.754371733428323602590794277906e-11	2.969388770058667e-11
-9	3.0943886781320573e-6	1.13891549946049101266959526280878e-10	1.1315830795526088e-10
-8	0.000013865011471770989	2.345708417528702446749206584150932e-9	2.3456509741049136e-9
-7	3.6994371878487817e-6	8.900416563094741577228779602021277e-9	8.900501041034716e-9
-6	6.700345479718534e-6	4.42888233330885030242711784184729545e-8	4.4288867780638284e-8
-5	3.7327511091921585e-8	9.9398907667119742001363997548422167e-8	9.939885055814881e-8
-4	2.784265620791738e-6	2.82956356934448451862335243349532477279e-6	2.8295636351028826e-6
-3	8.946825208176228e-7	8.96143000093578486995148741072322911523e-7	8.961430010511198e-7
-2	1.0649728689031369e-8	1.065734463262733321351419345605371049529e-8	1.0657344645269934e-8
-1	3.088024047900847e-6	3.099519899595490310947212969742622904836e-6	3.0995199280590983e-6
0	0.0001011196614747961	0.00010336994596641734794216175044696996259368	0.00010336994945438824
1	2.38877705790711e-7	8.9606268292897615170439069304607007e-8	8.960916349036859e-8
2	3.4045931541927728e-6	1.600169158709457471319416222785233216e-6	1.6001660050488261e-6
3	7.563354071514604e-7	5.0324381693029018825519826303165496e-8	5.0325544085795845e-8
4	0.00005870626612871426	4.005258594653436905882128154691445e-9	4.004201747838876e-9
5	0.0000444093464219727	1.12651860687615773790355520683649e-9	1.1267767274391487e-9
6	0.00014132154602390624	1.7772335437983520082326251495832e-10	1.775728337787138e-10
7	0.00004730026927882214	5.064127015889150412932644803014e-11	8.697533072994179e-12
8	0.000020231944581828895	2.28071925212616620146038334009037e-9	1.653678455774137e-12
9	0.000030973516245089296	7.89798303405030952949266606743998e-8	7.483410570383669e-14
10	0.00003171731117395809	5.383676615902245863178192075433357e-7	2.606331072548598e-12
