n	nmax4	nmax8	nmax16
0	0.0001011196614747961	0.00010336578497859822157676004909509430589306	0.00010336994945438824
1	0.00009846484005477554	0.0000921223002113143411000538728986480915084	0.00009208489613917543
2	4.995990396925907e-6	2.1232503533632664554430724264569636394e-6	2.0843247595798256e-6
3	0.00014141597958598808	0.000124000929132362298552385035105784391137	0.00012421256080149211
4	0.00024169592117205286	0.000223863257837614793170726999603409316055	0.00022392355863198906
5	0.00026281960126406227	0.000277250506151936699880744222588299777822	0.0002768527520992447
6	0.00024339753475294127	0.000283568589370440321924983710993823793128	0.00028353528668155655
7	0.0002302942351265628	0.00025670384459974287691922244968504236388	0.00025725444086687176
8	0.00022720729094493781	0.00021363872391345904268252801867744686844	0.00021383807849807089
9	0.00022680201714639033	0.00016679693665521848702030950348780463168	0.000166084567137508
10	0.00021969149464789396	0.00012294198973354337362160138958528806204	0.00012207189361047142
11	0.0001918275829657363	0.00008541986566401537420085503266094418479	0.00008564784634961602
12	0.0001497491937586252	0.00005602007060809324691183095708591946131	0.00005771510913442344
13	0.00014469601640125116	0.0000356204565628716522043620167357926014	0.000037517253797970406
14	0.0002102248358716429	0.0000236416217429288897435346156959130074	0.000023599460364571604
15	0.00030046762472653413	0.0000170086354370704318499619374240614818	0.00001439686165434003
16	0.00038099333471675696	0.0000123569937161807364183738648234592061	8.52959883410647e-6
