lambda	rg	rw	rdh	zg	zw	zdh
0.	3.076923076923076923076923076923	2.55045074315277472031223288829	3.08066015786126844731081099375	0.7071067811865475244008443621048	0.68336217690395352436359067368	0.68874805809681136867173836302
0.0625	3.077725174079831869153748300282	2.55113290749787337718014064	3.08188313423094718265772218	0.697535659421526320228148621306	0.673343848734907033741965	0.6785533878403873747807974
0.125	3.08013416791085662559176901194	2.5530004069818791867098176	3.0853974779465584709067153	0.669071388595429377452359696966	0.6445130509528520033238949	0.6490693252009464011000731
0.1875	3.0841581692044391950918996616	2.5560672937511744603965955	3.0912231068083502312514689	0.622457165948472510430713492	0.5976095231953829529545516	0.6010676300987903523355911
0.25	3.08981070803396770516774262323	2.5603661266387453077995569	3.0994027244879944741672075	0.55891751148295077762005656008	0.5338587457834677889027497	0.5358260483284656386931453
0.3125	3.09711075097530675651108529173	2.565949250226452802894099	3.1100024922244536996134372	0.48013538685871308356958596627	0.4549414786101037863802622	0.4550975099411096290876856
0.375	3.1060827233294439300136488404	2.5728795005727717250338846	3.1231008751096926583663744	0.38821735905810830294183052781	0.3629819885567878806070624	0.36109560425914707076959
0.4375	3.1167565343797745764836985984	2.5812397828189602551967993	3.13880077496768309924885	0.28564513358263911897543026216	0.260472738480217527003496	0.256414663147594725405204
0.5	3.1291676030208125950804417013	2.591128713403032529148095	3.157222714975094880876962	0.1752126310796886698369003985	0.150210622199093391327476	0.143964540850841129294639
0.5625	3.1433568803010911907902589559	2.602646336675071953034986	3.178488613542186504256523	0.05994918066821642981132866907	0.035239361411611648957774	0.02690646034611130357424
0.625	3.159370864500328469921600426	2.615902496387308222597083	3.202733338602108504619582	-0.0569689166996680424960645539	-0.081267798729040800738278	-0.091471288307351463234961
0.6875	3.1772616032796967820927072415	2.631011088785670616268521	3.230095346655832367919453	-0.17231460368836615196342936101	-0.196098576518379358634848	-0.207845378925442966730959
0.75	3.1970866761714174827037996214	2.648076353919597464180682	3.260701482273166125194596	-0.28290906182759462462722366963	-0.306082345950626258956235	-0.3189459513692321316111624
0.8125	3.2189091491739882926248752954	2.667206632861119719196018	3.294684821398836527054321	-0.38571806370676979061315415514	-0.408208333286544222614149	-0.4216808080157972705225656
0.875	3.2427974914532666352906011062	2.688515083769751162818557	3.332180494152264307481842	-0.47794066241457681534856381023	-0.499704347317326594022579	-0.513213705089726793720175
0.9375	3.2688254420760553835673950612	2.71211167341738565896431	3.37331574187679679291455	-0.55708633069948392516258486692	-0.578101184218356409837424	-0.591034344122150233920627
1.	3.2970718122790470156119426301	2.738121304946411724171396	3.418231422168893423178473	-0.62103825302799883520182924936	-0.6413112439751501918644	-0.653039097872051520309455
1.0625	3.327620205959700928948551409	2.76668731716177123906191	3.467078186226448242339693	-0.66810215642875814010136173421	-0.687669791884804397806551	-0.697569835230271875461596
1.125	3.360558637827954976860180939	2.797964227941340069359246	3.520005590151998714620529	-0.69704147645735416656532577406	-0.715966140968570129575315	-0.723447304721411600061432
1.1875	3.395979024947507625951835631	2.832132298851869747699533	3.577177701183964242977115	-0.70710052000760679199343253726	-0.725474229449302560841557	-0.730000275549022195362034
1.25	3.433976523205887309358632284	2.869398142457168946073316	3.638763863156821899449021	-0.69801748284393169747999306491	-0.715960582495018449670779	-0.717071418735617590830268
1.3125	3.474648675590084271276475241	2.909986612097220535226832	3.704924613808471740744839	-0.6700287470309359322566315266	-0.687688986930513117908735	-0.685021442233779805913881
1.375	3.518094334051332821264200067	2.954148240867022320036131	3.775815677363869738697971	-0.6238650056804337599052388247	-0.641414165455835452357614	-0.634719417059286553481857
1.4375	3.564412311313287749397522765	3.002155000204875030544052	3.851571592506974993623011	-0.5607387195223235675196171894	-0.5783657658635228551285607	-0.5675253261722206136632699
1.5	3.613699713381135731875400938	3.054293704630578653223539	3.932290032128553272725344	-0.48232151626143034577817780513	-0.5002260619671210467179764	-0.4852637309741168308477406
1.5625	3.666049898015872984088135146	3.110864406463004520847657	4.018019269746478721505002	-0.3907096827410319372818778796	-0.4090885939459560135360514	-0.3901781536014577970416052
1.625	3.721549999455029953717868045	3.172169833017956573347723	4.108734820224957037825204	-0.2883760616099674463367494228	-0.3074130774527889186591202	-0.2848821886333191733799771
1.6875	3.78027795577246022039298129	3.238515837732613319034796	4.204327976623865235859547	-0.1781074969925747211740483339	-0.197962367958193747548532	-0.172288243153977316110328
1.75	3.842298973282448074816185326	3.310201188062363689290335	4.304574522763574782785118	-0.0629283617758995422259569098	-0.08372496628163617179988	-0.055527232587225500499387
1.8125	3.907661363386008943105410993	3.38750035623591833032213	4.40910905510051063436418	0.0539876236885598499430227152	0.032160123092482214633832	0.06213582309149403846867
1.875	3.976391692625540584855291827	3.470680094511157292948242	4.517429393858607217470002	0.1694134669859974290882013784	0.146507162330544483325523	0.177414624387015517146761
1.9375	4.048489198202971362907374027	3.5599794177294461863741	4.628845619543955410104654	0.2801678953008174758892243832	0.256176226864158832863494	0.287089712503823411976837
2.	4.123919440924870704332684598	3.655577764481972020531687	4.742459016433160161678227	0.383211841038161345198326377	0.358152945406734807055079	0.388102501610877265217265
2.0625	4.202607197872000791045516727	3.75763416349546619779071	4.857199980301886372196263	0.4757373815013662913019720626	0.449662520298733526840303	0.477671351824797785767599
2.125	4.28442864063914150032768031	3.866247547317990607721923	4.971758206215198164007163	0.5552452090344510531279666999	0.528234393791864810510805	0.553340565616403085843117
2.1875	4.369202904282963890461652	3.981387524745450205081554	5.084581824318201939650433	0.6196082913799941610866932029	0.591749809055397931986033	0.613047732805538425611825
2.25	4.45668322922272016755603442	4.102978396602973376986612	5.193992887525601679518448	0.6671210671145365574742409556	0.638531281122867261327798	0.655203773012273548379686
2.3125	4.54654795428208198986260717	4.230832539442781449567121	5.298092992164368097648245	0.6965349423655011592656422146	0.667352550747695747038423	0.678682976714857672998516
2.375	4.63839175300628706327649811	4.364434755535929894704059	5.394751518620210924217448	0.7070817365772045544809057599	0.6774537436338832299030422	0.6828708547034797241571972
2.4375	4.73171763364510460614801258	4.503101260919424833562877	5.481924311311091047160996	0.6984869385216222589817988688	0.6686165567890089663650898	0.6677120977216046413811213
2.5	4.82593035809681649045541325	4.646192048274288590009635	5.557742005580165390802825	0.6709742153574614527399782369	0.6411101280286560593359784	0.633623308450466487758778
2.5625	4.92033206398664058646425723	4.79284923229102715285899	5.620371202770187831395508	0.6252617479590894134710181793	0.595632352921045554720655	0.581484342359756598354376
2.625	5.01412097855185706258994572	4.941793096480836270631538	5.66813966120824023016112	0.5625499231365466802420114336	0.533367109510735164558267	0.512685467463128560412718
2.6875	5.10639416923709896073409848	5.091471876814089718966421	5.699734201917984390371117	0.4844990122112708527569497643	0.455962052422107361078218	0.42907357830605902879132
2.75	5.19615525590805912173779412	5.240104343635794519916604	5.7142590842901841278007153	0.3931949905384347216882955849	0.365470615326806471740309	0.332917272594725946217656
2.8125	5.28232788460722800379962566	5.3856177844821104468769	5.711291933585944523417234	0.291101797054747540152054726	0.264339274380849521728958	0.226872673929832078352412
2.875	5.3637755085478312263111986	5.525707198440934478235686	5.690922557771772234958854	0.1809991493228243420562700785	0.155333515002521094021299	0.113893476349552174044784
2.9375	5.43932762593790272952903745	5.657898718370737644312132	5.65374331867832251170303	0.0659064062262415237520292926	0.04145255931639138364286	-0.002844400137284932087442
3.	5.50781209313062520370035122	5.779603334490953760130274	5.600809848155149287635647	-0.0510053554739442708257546149	-0.074141172141318846439203	-0.120038649445367267892684
3.0625	5.56809249872728158243014765	5.888219818644076599470595	5.533569526230081326649884	-0.166509273202140195297450208	-0.188228896218614731945816	-0.234368953438187708549952
3.125	5.61910891233199489743547749	5.981244258210346277050986	5.453773476458572533599004	-0.2774216830585301760110494508	-0.297632734491335313150636	-0.3425935946974167364358
3.1875	5.65991969977924260448144846	6.056392237289763598635204	5.363364469894649719589452	-0.3806987355366993119208360533	-0.399311988357697165230131	-0.441662050001666402194743
3.25	5.6897416292470591869228577	6.111722193945939343416306	5.264379046965876966222767	-0.4735255828517057911000353351	-0.490460772760357463480085	-0.52880035516411921639649
3.3125	5.70798528080352264300900649	6.145742639573498902685141	5.158860154075044020209278	-0.5533941785314024546761320711	-0.568579642619540327567892	-0.601586117022352766020852
3.375	5.7142828902629088677341263	6.1575081253244623105711362	5.04875453170249250433016	-0.6181673056613194165690652702	-0.631549867723402287054938	-0.658025731457073494413768
3.4375	5.70850623325662780627458349	6.14667593413127073977812	4.935869294740871757989153	-0.6661281374419879240580275358	-0.677686730153751389708363	-0.696591499741396691855098
3.5	5.69077295200725777303083254	6.113528911121310963749765	4.82183991664673606382314	-0.6960160657711019302970008853	-0.705768423059412888285448	-0.716254543723842132622518
3.5625	5.66144074891175457333144961	6.058959690322884365747822	4.708073589277938331699721	-0.7070504312145995932068270276	-0.715066566535759692113859	-0.716508069619981515811187
3.625	5.62108997567138808210722003	5.984409934431351515071731	4.595768517520482957859238	-0.6989440184628746710135534639	-0.705352812605730572641913	-0.697365211259551162243075
3.6875	5.57049617508459103683026	5.891794414858174024695122	4.485927420795549971589182	-0.6719077774031738254807295408	-0.67689720434816281060851	-0.659357682799465153529746
3.75	5.51059494132817819854168915	5.783385528190302077816432	4.379331822474963995920923	-0.6266473687161399759544181825	-0.630459617233168363169997	-0.603514791321742204130744
3.8125	5.44244195466996914402880957	5.661683616010332830041949	4.276591219738689317460936	-0.564351090826483255770071775	-0.567264237339927717287717	-0.531340507349991954342742
3.875	5.3671711801653601871683936	5.529315733041060232440223	4.178171709153990144584225	-0.4866678364582672054097425473	-0.488981490714988542859895	-0.444785131964547660310316
3.9375	5.28595402102903206438737002	5.388907167746356658774995	4.084379843709446783640617	-0.3956732383680132458951265737	-0.39768485063651423508798	-0.346186306502426539541728
4.	5.19996175902554849281299316	5.242971824720475861769046	3.995412862017315205079683	-0.2938222911642078837052640474	-0.295795774129693318246067	-0.238221761119242774307654
4.0625	5.11033299681044746837308377	5.093861540558009269148309	3.911383075978790293391502	-0.1838875360304484835443553564	-0.186040382055590216443575	-0.123842696591984122690002
4.125	5.01814714538597125886438424	4.943690748173100548889889	3.832303265124134281407015	-0.0688832602456779924809091573	-0.071365904755390310864313	-0.006177673086490611086994
4.1875	4.92440436376965933480606299	4.794291003147375518913577	3.758126417531447205630788	0.0480221659145372434555334728	0.045144751433034023730684	0.111542925540960705114704
4.25	4.83001182158460829160762804	4.647224026037690608485905	3.688762052657922451240949	0.1636020746274944978896500645	0.160345893061097861243746	0.226084067162190073729304
4.3125	4.73577575303073727066471049	4.503764994935317840157606	3.624067779325531809290497	0.2746704742562784346048078672	0.271133488166050094747455	0.334308248791751630528674
4.375	4.64239851048583912588544983	4.364911321180425141648654	3.563878615618468743135781	0.3781787918192998896361664371	0.374531149313321933837384	0.433253262912390849696706
