lambda	rg	rw	rdh	zg	zw	zdh
0.	3.076923076923076923076923076923	3.08104651824411236030472350973	3.08104651824411236030472350973	0.7071067811865475244008443621048	0.68188439188817115243581839482	0.68188439188817115243581839482
0.0125	3.076968613976687192387640642293	3.081113506209340076912296536	3.081113506209340076912296536	0.7067151023643162827827239580163	0.68137095528132255814755211	0.68137095528132255814755211
0.025	3.077105233850252450120809014436	3.081267828369437914242240531	3.081267828369437914242240531	0.7055404823839895035502624646982	0.6800745625910736351845655	0.6800745625910736351845655
0.0375	3.077332962682665879145596350078	3.08150957384205792808908519	3.08150957384205792808908519	0.7035841704354591793539186304613	0.67799615002936441731651459	0.67799615002936441731651459
0.05	3.077651844041046221017104095589	3.08183883055147685846664257	3.08183883055147685846664257	0.7008482476029178923386176508184	0.67513744121091579418047227	0.67513744121091579418047227
0.0625	3.078061938924173563322790229039	3.08225567138514477400185788	3.08225567138514477400185788	0.6973356255108443785054351828101	0.6715009983155553488597254	0.6715009983155553488597254
0.075	3.078563325767280684439392894642	3.08276014525271513655962774	3.08276014525271513655962774	0.6930500444173063779935973519829	0.6670902646358243560156472	0.6670902646358243560156472
0.0875	3.079156100448181147036335965799	3.08335227457967151920514447	3.08335227457967151920514447	0.6879960707436659094405838051258	0.6619095920853490484321852	0.6619095920853490484321852
0.1	3.079840376294709884622519880278	3.08403205972064225769296234	3.08403205972064225769296234	0.6821790940268836009408923925609	0.6559642499159228816577052	0.6559642499159228816577052
0.1125	3.080616284093446523396554341254	3.08479948962276110885323936	3.08479948962276110885323936	0.6756053232779000814444617022212	0.64926041417046103683366	0.64926041417046103683366
0.125	3.081483972099686112241491180654	3.08565455700848796259256776	3.08565455700848796259256776	0.6682817827270585111780546635055	0.6418051406900150093993735	0.6418051406900150093993735
0.1375	3.082443606048616284422105139842	3.08659727556967057144236719	3.08659727556967057144236719	0.6602163069352561978145089127084	0.6336063272009943187884452	0.6336063272009943187884452
0.15	3.083495369167654132798796382572	3.08762769631335031278547136	3.08762769631335031278547136	0.651417535247505961426731726643	0.6246726716487507752598015	0.6246726716487507752598015
