lambda	rg	rw	rdh	zg	zw	zdh
0.	3.076923076923076923076923076923	3.08104651824411236030472350973	3.08104651824411236030472350973	0.7071067811865475244008443621048	0.68188439188817115243581839482	0.68188439188817115243581839482
0.0625	3.078061938924173563322790229039	3.08225567138514477400185788	3.08225567138514477400185788	0.6973356255108443785054351828101	0.6715009983155553488597254	0.6715009983155553488597254
0.125	3.081483972099686112241491180654	3.08565455700848796259256776	3.08565455700848796259256776	0.6682817827270585111780546635055	0.6418051406900150093993735	0.6418051406900150093993735
0.1875	3.087205528492626755103922564755	3.09124646920414389582715022	3.09124646920414389582715022	0.6207197742195176783484952509942	0.5935609124947951152990122	0.5935609124947951152990122
0.25	3.09525389553188741627791282917	3.0990513877369249275806466	3.0990513877369249275806466	0.5559253990984912247226335845112	0.5280379204898014578693383	0.5280379204898014578693383
0.3125	3.105667343283994842679880033294	3.109108479774600814981896	3.109108479774600814981896	0.4756513247091264059251090179973	0.4469810031183610548179408	0.4469810031183610548179408
0.375	3.118495182818397798869224446368	3.1214636226784248770844841	3.1214636226784248770844841	0.3820898935334740333417911717206	0.3526082686951524363461577	0.3526082686951524363461577
0.4375	3.133797827380096282427755061954	3.1361903833025752521573138	3.1361903833025752521573138	0.2778213705688746008977730789726	0.247521896870121290151682	0.247521896870121290151682
0.5	3.151646844928683010610987411948	3.1533849526072669023877363	3.1533849526072669023877363	0.1657468056007861607076642179224	0.134646333123627477958805	0.134646333123627477958805
0.5625	3.172124986862304126923589605339	3.173148980274506407618743	3.173148980274506407618743	0.0490062273300446768288647142482	0.017170611798945688303159	0.017170611798945688303159
0.625	3.195326173226715408662805949493	3.1956098137838204519458077	3.1956098137838204519458077	-0.0691152846546978317109750597999	-0.1015911610476730087980165	-0.1015911610476730087980165
0.6875	3.22135540922141940888169537345	3.2209088968339332396609193	3.2209088968339332396609193	-0.1852893937216442018545448979516	-0.2182903348299259725707022	-0.2182903348299259725707022
0.75	3.25032860114394229796035074127	3.2491812050303501484393675	3.2491812050303501484393675	-0.2962487207788115685013427569081	-0.3296311630939717644453993	-0.3296311630939717644453993
0.8125	3.28237223182817933655970412267	3.2805778938726288348375781	3.2805778938726288348375781	-0.3988876575252437567068875886034	-0.4325082615306987414167767	-0.4325082615306987414167767
0.875	3.31762284589001914190529567505	3.3152557767348229773166875	3.3152557767348229773166875	-0.4903544845585161875010647619902	-0.5240799323968204873577389	-0.5240799323968204873577389
0.9375	3.35622628345139918364023640354	3.3533605938176703590167045	3.3533605938176703590167045	-0.568130803210842476510159979284	-0.6018356831581578778199928	-0.6018356831581578778199928
1.	3.39833658725624466670250735015	3.3950537042282547309498036	3.3950537042282547309498036	-0.630096050592550147476732180429	-0.6636818546900286805304226	-0.6636818546900286805304226
1.0625	3.44411449206622215354457273784	3.4405033231003652718549548	3.4405033231003652718549548	-0.674576674532214762330377725162	-0.7079731713684715118242528	-0.7079731713684715118242528
1.125	3.49372538690248504575768081444	3.4898698302027175451412853	3.4898698302027175451412853	-0.700381004247566063321231386814	-0.7335441300195585724501875	-0.7335441300195585724501875
1.1875	3.54733662026526521321274694505	3.5433280630813002115635155	3.5433280630813002115635155	-0.706821682730692633629744424888	-0.73973847906933679048301044	-0.73973847906933679048301044
1.25	3.60511399643821734255195168856	3.6010549884197008218206058	3.6010549884197008218206058	-0.693727618843420111232609036953	-0.7264116180993291925810407	-0.7264116180993291925810407
1.3125	3.66721728840322812469900636127	3.6632143612969325505572608	3.6632143612969325505572608	-0.661446844633519467428776303499	-0.6939356087991921094962524	-0.6939356087991921094962524
1.375	3.73379457153218012622332716503	3.7299665152053592001389166	3.7299665152053592001389166	-0.610840653076713607409137650336	-0.6431886656734042853699594	-0.6431886656734042853699594
1.4375	3.80497516490091749539629788095	3.8014507520464941518045014	3.8014507520464941518045014	-0.543268265852134392671222520693	-0.5755393327170819577047718	-0.5755393327170819577047718
1.5	3.8808609579932314671751727331	3.8777722428482112285005899	3.8777722428482112285005899	-0.460560387029228152006140094933	-0.4928220708440579448614715	-0.4928220708440579448614715
1.5625	3.9615159057113695730613004107	3.9589939491485656054874197	3.9589939491485656054874197	-0.364979634051602787715007173154	-0.397291457030894316339149	-0.397291457030894316339149
1.625	4.0469535021080232061935829458	4.0451163655514538824406234	4.0451163655514538824406234	-0.259166181948258011532708880858	-0.2915771571318764194170732	-0.2915771571318764194170732
1.6875	4.1371221036031377335957865827	4.1360748992418794848531112	4.1360748992418794848531112	-0.146068023089068728935834849735	-0.17861119911806114103948	-0.17861119911806114103948
1.75	4.2318880784478410824243920679	4.231708918700754802777073	4.231708918700754802777073	-0.028856861681251399621047019365	-0.0615483734076443258051735	-0.0615483734076443258051735
1.8125	4.331016925285933182100314847	4.331742517795763019970988	4.331742517795763019970988	0.08916749899045390179887802441	0.056317963698951947282263	0.056317963698951947282263
1.875	4.4341527442940128700652960614	4.435801625213177027196724	4.435801625213177027196724	0.204679770492893629458381335462	0.171676919263596560875341	0.171676919263596560875341
1.9375	4.540796770994139217774099654	4.543349377120999201154189	4.543349377120999201154189	0.314433222112973783853330632358	0.281283865414346168065334	0.281283865414346168065334
2.	4.650286099005972421885984245	4.653670061548309339216907	4.653670061548309339216907	0.415359357502058390843620388272	0.382059069388527176236547	0.382059069388527176236547
2.0625	4.7617742126076849374715083845	4.765921001506733228362014	4.765921001506733228362014	0.504658105553104906799648631042	0.4712142684639997845386292	0.4712142684639997845386292
2.125	4.8742154887189385583468886815	4.879022578275086082857971	4.879022578275086082857971	0.579874813155119863259308015143	0.5462882048836796315503574	0.5462882048836796315503574
2.1875	4.9863563447501012704757583654	4.991659789289141221872172	4.991659789289141221872172	0.638962126085797916888334659513	0.6052221048358754758687847	0.6052221048358754758687847
2.25	5.0967361000154316831456939338	5.102422245183750841803236	5.102422245183750841803236	0.680326617966020909860881651103	0.6464471298891673401636507	0.6464471298891673401636507
2.3125	5.2037007443177609080042235732	5.209615140054246103096774	5.209615140054246103096774	0.702861394629331321604774309471	0.6688536224981861650718934	0.6688536224981861650718934
2.375	5.3054325064897403531271111518	5.311218034805430699783761	5.311218034805430699783761	0.705966608022367081691994410336	0.67185913761695307043926831	0.67185913761695307043926831
2.4375	5.3999972373451717921034673636	5.4053178717007772522503605	5.4053178717007772522503605	0.68955978238135017468315822277	0.6554613269701355925996189	0.6554613269701355925996189
2.5	5.4854100760684326176128514787	5.49016000915142007831911	5.49016000915142007831911	0.654077188722298613965105279427	0.6201085729426561230342814	0.6201085729426561230342814
2.5625	5.559717689416521548821591916	5.5638697997185842122583406	5.5638697997185842122583406	0.600466449261114177770877659763	0.5667046563283342262986162	0.5667046563283342262986162
2.625	5.6210927678813384382908596149	5.6245924319658671296788471	5.6245924319658671296788471	0.530169443227008140537967653085	0.4966779579856578039072791	0.4966779579856578039072791
2.6875	5.667933834469461367849023305	5.6707432773086744288361073	5.6707432773086744288361073	0.445093763523003170837633078818	0.4119112393932380752857073	0.4119112393932380752857073
2.75	5.6989613211531112847436024778	5.7010549425655244762570066	5.7010549425655244762570066	0.347570721582421015736532149028	0.3147155801329214808330676	0.3147155801329214808330676
2.8125	5.713299876632799718227389719	5.71465142408259126524702943	5.71465142408259126524702943	0.240298369663290766366622343535	0.207800613965355721023724	0.207800613965355721023724
2.875	5.7105374258210042863539238763	5.7111271028517589317639746	5.7111271028517589317639746	0.126269187209473961307462036396	0.09417269882899728671054	0.09417269882899728671054
2.9375	5.690753731804446942120986309	5.6905690932289416335573276	5.6905690932289416335573276	0.008683759382335503014666420349	-0.022937006735286125157575	-0.022937006735286125157575
3.	5.6545148296476753072448157257	5.6535552793725405335576066	5.6535552793725405335576066	-0.109146387824320553801764074112	-0.140173594570201463135949	-0.140173594570201463135949
3.0625	5.6028340457639074558414741507	5.6011160648496285656495027	5.6011160648496285656495027	-0.223902057309614024021398091822	-0.2541726304460620604855075	-0.2541726304460620604855075
3.125	5.5371045167642154232159499182	5.5346703453905061280582907	5.5346703453905061280582907	-0.33236008110490315991753983762	-0.3616588447749476537109859	-0.3616588447749476537109859
3.1875	5.459011349479751225313581586	5.455926247773591688625377	5.455926247773591688625377	-0.431491709576929182294321067261	-0.4595663427559563869662597	-0.4595663427559563869662597
3.25	5.370433265685943954637643504	5.3667881956477990589781796	5.3667881956477990589781796	-0.518550766043433703303409440969	-0.5451221673776877879448927	-0.5451221673776877879448927
3.3125	5.2733436012767252627152738115	5.269261291595138902528196	5.269261291595138902528196	-0.591148144798595160852606655278	-0.6159243155421291257548669	-0.6159243155421291257548669
3.375	5.1697191223097168799368286597	5.165330230140704698689355	5.165330230140704698689355	-0.647311054775248517883557238093	-0.6700219905785571731279064	-0.6700219905785571731279064
3.4375	5.0614627844957126985651740044	5.056906554498625442538975	5.056906554498625442538975	-0.685527139861833606016487057083	-0.7059457856920610634233241	-0.7059457856920610634233241
3.5	4.9503438869782584753967667312	4.94577358310890906397382	4.94577358310890906397382	-0.704774875078830751946939934857	-0.7227411388936008158351261	-0.7227411388936008158351261
3.5625	4.8379565683051162473685149755	4.833503548047110079653245	4.833503548047110079653245	-0.704542218935517101654520475586	-0.7199875489313905970715627	-0.7199875489313905970715627
3.625	4.7256956036765028910792577412	4.721476793196378933934947	4.721476793196378933934947	-0.684835350614765548926132171567	-0.6977899754625267522331167	-0.6977899754625267522331167
3.6875	4.6147471356162334346159254867	4.610876198181141469107944	4.610876198181141469107944	-0.646178567060043070534186417925	-0.6567750692445119000073996	-0.6567750692445119000073996
3.75	4.5060912918647698213579037663	4.502641912046796373974772	4.502641912046796373974772	-0.589605326340882792348780538212	-0.5980620934993724155716462	-0.5980620934993724155716462
3.8125	4.4005134987936903541505669192	4.397534693781203220899257	4.397534693781203220899257	-0.516639339154140101107510714123	-0.5232403452180367314836729	-0.5232403452180367314836729
3.875	4.298621527092736115599041992	4.296153213949930336062407	4.296153213949930336062407	-0.429263868390226221493450979392	-0.434337675677728162659974	-0.434337675677728162659974
3.9375	4.2008657518640318538444295707	4.1989064976233083310197657	4.1989064976233083310197657	-0.32987726157321875360053242206	-0.3337542884704684922059761	-0.3337542884704684922059761
4.	4.1075606425974103527893919828	4.1060864748981061284127525	4.1060864748981061284127525	-0.221233339714167071639591751126	-0.2242224493685145852946477	-0.2242224493685145852946477
4.0625	4.0189060285468625517835557118	4.0178863457392051784037389	4.0178863457392051784037389	-0.106366548557977423870573336763	-0.1087347800120618085383626	-0.1087347800120618085383626
4.125	3.9350071568098491915257615461	3.9343800475648171305410324	3.9343800475648171305410324	0.011496486088058390256245282053	0.0095569688682758874029207	0.0095569688682758874029207
4.1875	3.8558929480776183398544571941	3.8555833653987922587251747	3.8555833653987922587251747	0.129035535850286905412884314505	0.1274101571849336547015893	0.1274101571849336547015893
