lambda	x	y	z
0.	2.253634630864725095111713	0.0111410998000377842401	2.1009175314720535829591980051
0.03	2.2384822537723879371761	0.3195753362980037068963	2.0932776849095774106002752
0.06	2.1951167262890523254391	0.622547691012274639028	2.0721099942830671364107641
0.09	2.124677551227690590898	0.917695697941328403202	2.037507383984812863079087
0.12	2.0280451902873403973787	1.203101600936351364658	1.9896401075480134564397443
0.15	1.9060454147763259807397	1.476595233419580221443	1.928756642112738254543307
0.18	1.759933115689613692801	1.735479713063343746408	1.855177621455198423561228
0.21	1.591652424415666179494	1.9768286511126157468095	1.769289639736077608353844
0.24	1.403606475446291537511	2.1980164919131023747884	1.671544883958540173091487
0.27	1.198162580362713363242	2.3970088407139898972482	1.562465886299840631572201
0.3	0.977377047936274460942	2.572239930348176955019	1.442648995469122989970028
0.33	0.7431929165141025177	2.722304978992644094265	1.312761085097443986879419
0.36	0.497887302841149069515	2.8458107459681305552478	1.173530483927526749915436
0.39	0.244304516072743425207	2.9414987493731546997539	1.025738517104544448984341
0.42	-0.014364453488326007014	3.00845930144628117790308	0.870216919611504584566823
0.45	-0.275044254404858661765	3.0461963412008067273287	0.707849888530821129450896
0.48	-0.535043930897005203008	3.0545090423387111536516	0.539574273878851292508248
0.51	-0.791911121210773221061	3.0333693625267991742377	0.366372711930157054224273
0.54	-1.043067375923015300763	2.9829584339507647706006	0.189261084656565650243664
0.57	-1.28561733693142012257	2.9038193047884605743386	0.009276941174798885570885
0.6	-1.516524955310739834443	2.796935406686622064073	-0.172525793714018399929061
0.63	-1.732979844602328740787	2.663622203820845183032	-0.355076991702012115284629
0.66	-1.932613125739741476251	2.505333249712747659581	-0.537291678529079275269093
0.69	-2.113404968811379442527	2.323585721906426870313	-0.718077592294078844516238
0.72	-2.273439136193414630606	2.120082886353374068303	-0.896347681887775531281316
0.75	-2.4107820667507431191449	1.896892225039816757273	-1.071031379717227060566822
0.78	-2.5236001852867614173296	1.656469461889302938838	-1.241079744946678872531031
0.81	-2.6103787969485376775043	1.401476179555524117672	-1.405465511592198258145957
0.84	-2.6700300003714025784546	1.134553372021580917714	-1.563183638541997610663523
0.87	-2.7018252816493760398315	0.858255752078021250242	-1.713256758762413232955785
0.9	-2.7052746554504616328036	0.575179351359786388363	-1.854744521068448960072296
0.93	-2.6801011834840396338433	0.288114268283268209571	-1.986751824504158386387895
0.96	-2.62632549023138446980365	0.000034268677012827662	-2.108432181065607649659831
0.99	-2.5443470319489282045599	-0.286093915978782217077	-2.218987240335483496038202
1.02	-2.4349239504520158025962	-0.567523165670187954555	-2.317666801938480513542244
1.05	-2.2990728433262137001368	-0.841799228943377301436	-2.403772334892805857542665
1.08	-2.1379839974451707322761	-1.106686935204529972053	-2.476662949101758091425021
1.11	-1.9529988710253037777362	-1.360074742000952287077	-2.535760352511856143308976
1.14	-1.745601426755081538877	-1.599961485195756776919	-2.5805508023446620856238574
1.17	-1.517359260792022438723	-1.824500715358732588995	-2.6105853651256419283709377
1.2	-1.269833620627432555912	-2.0320015404729358895835	-2.6254812194427078854703556
1.23	-1.004550771162196266324	-2.2208428625853043681734	-2.624925028194925926745262
1.26	-0.723090881794459048417	-2.3893696877745283921108	-2.60867689100369165476409
1.29	-0.427239149292853237444	-2.5358706168363725633116	-2.576573004298674706580093
1.32	-0.119084257241625527372	-2.65865700021813810010615	-2.528527080709384040890429
1.35	0.198992976210246643966	-2.7561759138870280515518	-2.464532238915982554623631
1.38	0.524393137694912856932	-2.8270866452557306083803	-2.384664387364256692635803
1.41	0.854351508492913325977	-2.8702960387903491756137	-2.289086022139174896336572
1.44	1.185950121030864077722	-2.8849892956838680786181	-2.178048589228415404956385
1.47	1.516138473729960381927	-2.870665616601155108686	-2.051893225228445034675257
1.5	1.841804067462705497162	-2.8271463642405723097939	-1.911051746982062623366224
1.53	2.159861728718057319345	-2.754538724427520120478	-1.756049457527066358829231
1.56	2.46729301676444778533	-2.653196988820505685704	-1.58750874518252983685451
1.59	2.761119636187541204026	-2.523739790617075312716	-1.406150703200262277287401
1.62	3.038377552552722839435	-2.367112045932557808977	-1.212793572230246961478092
1.65	3.296165271099226108745	-2.184600446732472917592	-1.008350190403798792571588
1.68	3.5317515510882056771441	-1.977736168496852114797	-0.79382765058820021217202
1.71	3.7426464543944682428194	-1.748149990148017470515	-0.570329171070891093098231
1.74	3.9265702073748673927428	-1.497537151615858954021	-0.339054107791628994011366
1.77	4.0813717654125484193796	-1.227803931395431954703	-0.101292260262466176718179
1.8	4.2050153128328656105528	-0.941260010147112653212	0.14158609614384163534764
1.83	4.2956783434101160153607	-0.640618116422062303804	0.388138244832572365298557
1.86	4.3518668629029411765175	-0.328722641292056524246	0.63685083926721013626975
1.89	4.372420639894875754177789	-0.008226945634585226996	0.886139009754215949840457
1.92	4.3564108083574296226136	0.318446554964494237394	1.13435171959416374416202
1.95	4.3030777890195370328531	0.648775149802714052201	1.37978819746713387538573
1.98	4.2119290712614920531955	0.97974424312768097672	1.620719377162666012633403
2.01	4.0829149510640061396791	1.307835386557821425615	1.855402040531553240378596
2.04	3.916453957199060888521	1.629496845331010035772	2.082080036352108747240994
2.07	3.713204457197687491303	1.941689262768130147337	2.29898139811458217438977
2.1	3.473794776351614477995	2.24195042177150779294	2.504327416809296096897706
2.13	3.198876262943689929123	2.527854407066970188211	2.696360308435441767976187
2.16	2.889601834097948376852	2.7963691793765911727	2.873377703109296470960572
2.19	2.548140480169084311323	3.043796309466778835665	3.033753596369520812854526
2.22	2.177622174777121404087	3.26645247115846648889	3.175937493960363625325499
2.25	1.781310516712766470643	3.461487855262579278964	3.298446215881677025276914
2.28	1.361570859747424128691	3.6270168872087904509414	3.399873500774458022760994
2.31	0.919608465072723258924	3.7613541432715774491652	3.478928526112542135740741
2.34	0.456485145627937847615	3.8620462821775936621897	3.53448741531144742386313
