lambda	x	y	z
0.	2.175713172881684690464136498784	0	2.175713172881684690464136498784
0.03	2.16117769043122530305101053731	0.3065888724366728798954209192	2.168959238829234474102072581214
0.06	2.1177349287187866749376734293	0.6099676212362588158886308502	2.14873304954506686679675084177
0.09	2.0458751452154931663944020869	0.9069574749769990478426174715	2.115141373453020436402596029512
0.12	1.9464113602066400755848807305	1.1944448237488960777987915668	2.068361918402775518058418826304
0.15	1.8204705844460912250539987238	1.4694162204363466569061354962	2.008642953330291742821069899736
0.18	1.6694807783622567208827164854	1.7289911425154646474387368751	1.936302741637791826625366186275
0.21	1.4951559664760013117116906175	1.9704512251762908333989343191	1.851728752013243645792977822778
0.24	1.299480098225887674510134667	2.1912677945619002558338209786	1.755376606288079383144662318861
0.27	1.084687562320597108957995174	2.3891294908665871464778407586	1.647768720334468311103625317369
0.3	0.853238586414382400010087961	2.5619691494909439538027256248	1.529492593239696117151107479107
0.33	0.607790676624996962978095408	2.7079876029264088317827311193	1.401198702233697831819422603687
0.36	0.351168935903564440616565013	2.8256733025432511211681915655	1.263597966098477169006949461806
0.39	0.086336478616558198265396295	2.91381860155482414778786192733	1.117458747901605319325264247345
0.42	-0.183636605002185582329320479	2.9715336745025871800853234123	0.963603378551049661546009216756
0.45	-0.455607729972820497097501368	2.9982575461590478724172041381	0.802904195389421465772788679105
0.48	-0.726399355184871412975790399	2.9937647775241130673468123155	0.63627910421924273790550563399
0.51	-0.992836827788531897466298668	2.9581672219896170469421529902	0.464686688056095635748486032941
0.54	-1.251784140306699922928712017	2.891911708038776551943176941	0.289120900753392716138075835203
0.57	-1.500177730503720628476631512	2.795774628340987946271123371	0.110605397617324957373477397237
0.6	-1.735060141755942152477456532	2.670853123042004776180869043	-0.069812432554000847282521317797
0.63	-1.953614328958745675343213158	2.518551644351787095470557647	-0.251067659627595882194065958406
0.66	-2.153196965635163381402119254	2.340563555645327062287074286	-0.432084147119838430011088140175
0.69	-2.331368147565335145619238988	2.138849173049154094814468634	-0.611780945028601355432902311209
0.72	-2.485916456794090088971520344	1.915612161358123873239205313	-0.789078655532019287216096378039
0.75	-2.614880568433322319728446081	1.673274711464093581607043088	-0.962905690199676957526301514384
0.78	-2.716568930060181547837254396	1.414450193435748048782290956	-1.132204344427813731628687180336
0.81	-2.789577313637288934138269343	1.141912243106344284314268735	-1.295936624927152289710727649471
0.84	-2.8328024921752615043373169607	0.858561451626422093293499034	-1.453089778701487350249541446799
0.87	-2.8454508700152638473923637605	0.567392444701599241665532389	-1.60268148636462785985746516337
0.9	-2.8270428628023937943245072749	0.271463042203072573752482994	-1.74376469807088803333421998368
0.93	-2.7774147137488594372319263034	-0.026135588081049966428901273	-1.87543210595754546259130734499
0.96	-2.6967181865419989573238348905	-0.322310055099158066241566706	-1.9968202620017091003224921009
0.99	-2.5854169665255341493934532661	-0.613997380684849510767550724	-2.10711336381676081894917482746
1.02	-2.4442789710197487667382092592	-0.898196428288526601002656666	-2.20554674248439244070264714646
1.05	-2.274365767759644171694674047	-1.171995323848071909653580445	-2.29141009548901913352313679243
1.08	-2.077021066857059462015446609	-1.432595312478162428869976918	-2.36405051378785820060744799045
1.11	-1.853858345062203675395617321	-1.677334118720831178345279348	-2.42287535476480447246061743068
1.14	-1.606745598546527432345959414	-1.903710364416886722613629539	-2.46735501219287430424953964195
1.17	-1.337786333596620249375990321	-2.109406851100775574812623803	-2.49702563043948447039105506088
1.2	-1.049299097934520121226791156	-2.292309720082428085130669885	-2.51149180321040787407323267815
1.23	-0.743798373513491280619941054	-2.4505238230567862875308697958	-2.51042928749506350634665026583
1.26	-0.423976114628298077650260317	-2.5823872450656915631140568418	-2.49358775151699728194211346157
1.29	-0.092680465214771797887704628	-2.6864861197013692373138289638	-2.46079356197330442309267431818
1.32	0.247109585526307260791968628	-2.7616676537600237580742550495	-2.41195260130163310579936326678
1.35	0.592310633710025778089668369	-2.8070494873481217335697723158	-2.34705309082628658781272735229
1.38	0.939759102385334498088879181	-2.822026454294043144300927108	-2.26616838110817283389849429034
1.41	1.286233942693156357554690171	-2.806276811940119678136023659	-2.16945965734943114029727005109
1.44	1.62848121969476427171647056	-2.759767731962723788058096973	-2.05717849593424272923752339292
1.47	1.963242217927631773158712855	-2.682757839501206194984734099	-1.92966919870175000863454407017
1.5	2.287282990673677616954437967	-2.575795766444488546899700543	-1.78737082481998382189769598974
1.53	2.597422283373084078229779391	-2.439716324612939170609205365	-1.63081883650177991765553937955
1.56	2.890557282695983521106698011	-2.275636332185121183941457517	-1.46064627445510571108536021595
1.59	3.163689274354067576835613555	-2.08494971082409370687585121	-1.27758438189130069267367585119
1.62	3.413950981987906267534179129	-1.869319328419891596712802207	-1.08246260193503777481960010869
1.65	3.638634841504325161049994799	-1.630663996408147050070915242	-0.87620788200875152268483580724
1.68	3.835219889390569297188146931	-1.371142023908732461082986438	-0.65984322964471395030136511013
1.71	4.001395963057897207194347017	-1.093134198514198769393213148	-0.43448547650377845855248871477
1.74	4.135085993314771813186275881	-0.799227186767066063865921593	-0.20134222033735165967391653717
1.77	4.2344677532686631019252973446	-0.492195281295097943847789739	0.038292072649416244985331213623
1.8	4.2979950251640986211695401854	-0.174977805209004082757665819	0.28304081094901538251021214729
1.83	4.3244167052590213535624223021	0.149347823880379675357941826	0.5314508625846949378532492278
1.86	4.3127927139180578947649763932	0.477594372329956132741092612	0.78199897055871572758963997648
1.89	4.262507177414314604826553801	0.806491581071474502944796849	1.03309898355914826903880983594
1.92	4.173280069993484615162546091	1.132711870001679740842900077	1.28310988538998465404947894676
1.95	4.045177385019958381580263252	1.452897988634839574306848468	1.53034460839043628779179994746
1.98	3.878618435348460228640033462	1.763694593724287530789346004	1.77307962044047190596509544259
2.01	3.674379155840490730901861779	2.061782126092327471621478957	2.0095652812457645987856269506
2.04	3.433592193278985440396784915	2.343909366562380020179686221	2.2380369704009183239016762555
2.07	3.157745680227972090224149921	2.606923085234343326154622041	2.45672699594738230798505138
2.1	2.848681123989347472257606585	2.847796950116772754422792261	2.6638772963005759020682819691
2.13	2.508588283579490716188828138	3.063662854939975247693475936	2.8577529489622455708003954869
2.16	2.139994608190149697003708727	3.251844782569712556584448065	3.0366564948188463979537986122
2.19	1.745749715241961662030783942	3.409891938135373435316710341	3.1989430756462646668737157926
2.22	1.329008128808503918249117141	3.535608447306309915286685977	3.3430363635400122000635242861
2.25	0.893212114420851382427472677	3.62708071924440037232479099	3.4674452335888259294468346897
2.28	0.44207191514920335615199036	3.682705483949482342500056565	3.5707810949238120337910732512
2.31	-0.020461212330508311574187677	3.7012187502058531777996653278	3.6517757506216912872204752928
2.34	-0.490229782584944887146691144	3.681722322797522930485911204	3.7092996048237597475384831311
2.37	-0.962908121919571079702467058	3.623705393876545213644955907	3.7423799775999263389393169474
2.4	-1.434039924735345608838021478	3.527062767274370350891437797	3.7502192270464768750350497967
2.43	-1.899077726982060260542135855	3.392111999096611244281091317	3.7322123170864271877817001839
2.46	-2.353429621498828975919918596	3.219607631636184587127345329	3.6879634122972585432192667329
2.49	-2.792513986758728838097548213	3.010748125488700652806309175	3.6173010321381453677747483806
2.52	-3.211817257290659331772633565	2.767174371901590531096180285	3.52029126073033322386459559
2.55	-3.606950345148753146886481568	2.490963024927670698967178188	3.3972484893321811985407956881
2.58	-3.973704498059360260015842577	2.184616768781780172220960036	3.2487431708968436535893388445
2.61	-4.308109673761763574757181675	1.851048589788762649221765376	3.0756060928602615822646726705
2.64	-4.606495344929203562376739496	1.493555378638414736131525531	2.87892872766110591157655678
2.67	-4.865549741198572080220267734	1.115780365942877816402480688	2.6600593010136816322562083219
2.7	-5.082373640130688321212609284	0.72166875415833218603210564	2.4205943244449961201608746911
2.73	-5.254527925809808858337329567	0.31542056586017645292398578	2.1623654679723624774899495085
2.76	-5.3800758412212091196095774817	-0.09855997911834441779953431	1.8874217960579576123605466187
2.79	-5.457619362940670741305160364	-0.51572221725510704553435997	1.5980075484567480236129535302
2.82	-5.486326970046754677036826112	-0.9314350700287625030737762	1.2965358092681153034302025679
2.85	-5.465950355820229674851274367	-1.34105736025745515066885107	0.9855585635918688042991150057
2.88	-5.3968300376163032344215676	-1.74000649143005844986514313	0.66773378268337027636192085949
2.91	-5.279891358745902577373940068	-2.12382276770041621646492173	0.34579029692802633917918545373
2.94	-5.116631359795488996524727189	-2.48823104833646677144222523	0.02249130404763266303581708495
2.97	-4.909095179047467069888753419	-2.82920200942430672602050924	-0.29940258774151552030566282671
3.	-4.659840912444449481876499816	-3.14301161034477300915573264	-0.61716986855509703859034591232
3.03	-4.371894489721319909087489649	-3.42629389796387598475549646	-0.928163300852218615828272831
3.06	-4.048698243438114469174891438	-3.676083108139999562548737058	-1.2298429357763447354048874864
3.09	-3.694055934692670607471707363	-3.889845238362271496342910998	-1.5198062462850145406932566133
3.12	-3.312074119284108238808688732	-4.065502212525180556637529139	-1.7958147759154402757757849487
3.15	-2.90709851553939999257920576	-4.201450478196482231328906615	-2.0558168457573469695763316845
3.18	-2.4836463142288116366066714	-4.296572403296578865673900972	-2.2979660167340850984308640922
3.21	-2.0463387047105092786830476	-4.350237631944462680164588133	-2.5206351609724058005193876225
3.24	-1.59983814299242310696391575	-4.362294179895640853880226475	-2.7224261467193736149111158868
3.27	-1.14879122799050629237107916	-4.333052390466428834979140583	-2.9021752788283982544830027517
3.3	-0.69777440195555462471700309	-4.263265023574573583820733893	-3.0589547556061121523037057208
3.33	-0.25124038508140013617300572	-4.154103844732190819716690895	-3.1920704987819075186456787546
3.36	0.18653236741624299007029119	-4.0071311084577001836553670582	-3.3010567842797284735893286263
3.39	0.611482276874090861598531973	-3.824265969353334314967285307	-3.3856681467731893823607339303
3.42	1.019797365769364217455388993	-3.607748785980040359117034271	-3.4458690516326353438697381772
3.45	1.407941622891899534417589453	-3.360106155181459456455384727	-3.4818218260092819020955617414
3.48	1.772679785690885519732362604	-3.084116161117603287047720949	-3.4938733195572872437510370678
3.51	2.11110057381307431059892204	-2.782771557201260846191617937	-3.4825407283804081561444682321
3.54	2.420633935249988883909293787	-2.459241374946263097205807024	-3.4484969672057517504411284241
3.57	2.699059855734138375874920388	-2.116834775877186139008141231	-3.3925559185467976512083260042
3.6	2.944511984844221328616624674	-1.758969268427831701622102028	-3.3156578275229864994600848926
3.63	3.155480773232715539920377625	-1.389140484441261398996256873	-3.2188550504728010810118761648
3.66	3.330816392042975631753048246	-1.010889745185448018650854896	-3.1032983074522645703072590011
3.69	3.469728130058809878288457972	-0.627770314810821845256640031	-2.9702235355082135004426730894
3.72	3.571778882545781777535737773	-0.24331685785968940624477868	-2.8209393930254698813774337223
3.75	3.6368771068844421014248397717	0.13897995787727435913306782	-2.656815426661737740586075182
3.78	3.665268717521991483694815198	0.51569690470729647646070259	-2.4792708820532364264203872525
3.81	3.657528324223667981763671805	0.88350376022455464910689577	-2.2897641177550612512798194463
3.84	3.614547663897463547910471737	1.23919093223967451398276557	-2.0897825684991795191041190408
3.87	3.537520876228771514973993592	1.5796954152440371483565214	-1.8808331981716664378936159438
3.9	3.427928487187484758201923559	1.90212241360420749904383694	-1.6644333839964608095443181542
3.93	3.28752146259913187558470851	2.203763940093670553932880246	-1.4421021801089279443834593289
3.96	3.118304266783353717944842506	2.482117657348848571418016226	-1.2153519196993628046408760046
3.99	2.92251482033945142359141089	2.734907174880694712187289325	-0.98568012881248267334022192705
4.02	2.702601009939024181921484111	2.9601017048235536451097343	-0.75456174029927903821801454728
4.05	2.46119576929623140045907493	3.155932217656564603628532788	-0.52344161198170222105438780814
4.08	2.20109276148165492575707937	3.320903522787413115343314598	-0.29372736757465852682240537079
4.11	1.92522228534290469947989406	3.453804101739043749638164146	-0.06678259125262676867862133694
4.14	1.63662511773811175280758903	3.553715368010010549498856651	0.15607958389174399624741108191
4.17	1.33842298084074663277241922	3.620019839058505825688560698	0.37360244745995690176000174625
4.2	1.03378717944368485084028162	3.652406237655141806522261452	0.58459119548784793854874209
4.23	0.7259084001555570056122798	3.650870408317319503744416749	0.78791788038381657886054859263
4.26	0.41796896715251360900978635	3.6157128832367407783749432	0.9825257868379128359967139172
4.29	0.11311590849582096943628819	3.5475345744296400167525041487	1.16743320239997316441166604368
4.32	-0.18556758324296047749584168	3.4472308159755931038084012293	1.34173656291215707068250300948
4.35	-0.47509234119487525049976606	3.315982625632936552918853185	1.5046129662276025005609450766
4.38	-0.7525922928166389917811765	3.155244420918028253168532481	1.655322061767614235294865547
4.41	-1.015349691403606809014991568	2.966729029902694449776554316	1.79320733755880648570929801077
