lambda	x	y	z
0.	1.7282079884725712	0.003269468865056069	1.6462705829141182
0.03	1.7155358103794416	0.24927917429480007	1.6408418374500677
0.06	1.678149003256812	0.49178477249928004	1.6251855968242037
0.09	1.6167110501212278	0.7281766404020464	1.5993839515740096
0.12	1.5320222167681063	0.9560268362692621	1.5635778612652707
0.15	1.4250668270180615	1.1729145072201466	1.5179670174335331
0.18	1.2971456035395552	1.376367592197133	1.4628074926758605
0.21	1.149947346025799	1.563965842670639	1.3984090277942531
0.24	0.9854756926981104	1.7335114799904465	1.3251336781098852
0.27	0.80588765881883	1.8831326954375878	1.243395761322459
0.3	0.6133828343509127	2.0112677057998125	1.1536614027961831
0.33	0.41022652523549286	2.1165918859768307	1.0564460637050788
0.36	0.19885525942334703	2.197986566093563	0.9523101355744382
0.39	-0.01806645537639364	2.2545835671877184	0.8418542874902375
0.42	-0.2377180667193729	2.2858328091181632	0.7257161761390715
0.45	-0.4572771449607568	2.2915219750225786	0.6045684688202692
0.48	-0.6740343032038218	2.2717376115984265	0.47911654622917893
0.51	-0.8853936975529134	2.2268224537893775	0.35009431547297115
0.54	-1.0887986468007693	2.157381490406622	0.21825820543805294
0.57	-1.2816889381429126	2.0643261288471515	0.08438101388310272
0.6	-1.4615550197554708	1.9488954865193637	-0.05075273128469726
0.63	-1.6260544381731812	1.812613257000122	-0.18634981177575632
0.66	-1.7730999528301743	1.657206291386591	-0.3216112590936033
0.69	-1.9008660036302842	1.4845519902474185	-0.45573675362229343
0.72	-2.0077431765799627	1.2966901440274843	-0.5879305699328479
0.75	-2.092312366174067	1.095864480164731	-0.7174076316720288
0.78	-2.153376212715756	0.8845252282912095	-0.8433981317383953
0.81	-2.19002002903607	0.6652622254964816	-0.9651505156162604
0.84	-2.201647820673574	0.440707561410411	-1.0819340505622714
0.87	-2.1879719075453843	0.21347489573989217	-1.1930423431246044
0.9	-2.1489835716651395	-0.013838039478281883	-1.2977979812166438
0.93	-2.084943210879662	-0.23862196688794668	-1.3955572053264647
0.96	-1.9963956515411823	-0.45826373249448243	-1.485713383823898
0.99	-1.8841816411389285	-0.6702093556287924	-1.5676991007891858
1.02	-1.7494189890089162	-0.8720461837523514	-1.640987755034186
1.05	-1.593459625308541	-1.061552662642785	-1.705095664915786
1.08	-1.417851574826808	-1.2367004613581118	-1.7595848069587885
1.11	-1.2243222464297574	-1.3956378918715129	-1.8040654606667457
1.14	-1.014769511132611	-1.536689750609949	-1.8381980315406212
1.17	-0.7912372680095964	-1.6583773051373867	-1.8616940588623547
1.2	-0.5558740804933932	-1.7594340526817465	-1.8743170318764073
