lambda	x	y	z
0.	2.175713172881684690464136498784	0	2.175713172881684690464136498784
0.03	2.161548039473577824210444973	0.3019890724909180094060920178	2.16908554087221475663401156409
0.06	2.1192097677250664993176802977	0.6008616830265303003500591035	2.149238680293426959302461016
0.09	2.0491690054269486642344956866	0.8935312421416898182427261343	2.11628060597854358554009943414
0.12	1.9522064270927620317282982596	1.176973180484087886156173391	2.07039103263839965794813446883
0.15	1.8294046619568661732481358389	1.4482582986702827042234287238	2.01182089278659745890530296516
0.18	1.682136171061064051913389451	1.7045841873028006841577456565	1.94089162878074428436916865539
0.21	1.5120492814817960391967165057	1.9433033868005538302444846691	1.8579942283564033242203118049
0.24	1.32105308544372698916798023	2.1619498459804045838113554673	1.7635879676315182113714518418
0.27	1.111299400775006797694689425	2.3582654401085467401477022472	1.658198822462924221396685052
0.3	0.885159993805984835363179259	2.530226012455793772798161187	1.5424175085268945850564020482
0.33	0.645199805598246535270622146	2.6760648166664878128806414054	1.4168971127284743534418761412
0.36	0.394148731222912645914344435	2.7942921158988062666561719947	1.2823502835342133403195119268
0.39	0.134873387236324011659053769	2.8837115182971072821906508494	1.1395459554354124495443533042
0.42	-0.129652246807870283729268671	2.9434340351131599746488947757	0.9893055927004774371699815409
0.45	-0.396379279895234870814980867	2.9728896048440547122839092914	0.8324989494406425794157932327
0.48	-0.662219584620611257697895299	2.9718347654215412201555201774	0.6700393562443725462327737016
0.51	-0.924082457558833177461682066	2.940355659161025332119812807	0.5028785575853166853794387599
0.54	-1.178909790932915077615257329	2.878866905575166135744945096	0.3320011381658530262793996707
0.57	-1.423709319019972588913634932	2.788107327403471996031132564	0.1584185895883088510619320004
0.6	-1.655587412837495679286576306	2.669132539774429305026048102	-0.0168369194655196136506999299
0.63	-1.87178255186163621722728404	2.523303348577246406375715021	-0.1927189966681496772678036718
0.66	-2.069698501120252430774731344	2.352269262746179602983246377	-0.3681736231499878659241704454
0.69	-2.246934805218560052357573316	2.157947968319327990272044689	-0.542145810295184170413466159
0.72	-2.401313045175657410019983285	1.942502551527482186232230223	-0.7135862314772755471934660644
0.75	-2.530899374371024280993849791	1.708317395229034683490476669	-0.8814577465079558365128930593
0.78	-2.634024817119777472424838974	1.457971950120706988414203261	-1.0447417422516494313458094304
0.81	-2.709303718849164651610422878	1.194211109899807408823546393	-1.202444221365127317722344646
0.84	-2.755649040652369118485834754	0.919912479278396660709559383	-1.3536015819719579880240604088
0.87	-2.772282988301317532129850968	0.638052760253710938202693457	-1.4972860436680855490895548222
0.9	-2.758742992937342167944795103	0.351675468094817653268801438	-1.6326106888838134778389726516
0.93	-2.714884441140929379903456168	0.0638600091604313980732393	-1.7587341025635300492257675157
0.96	-2.640881118649982224385703603	-0.222309779559179645262697905	-1.8748646066344280538169742526
0.99	-2.537222744316539514743217642	-0.503778838239789675531420154	-1.980264098129965739738593294
1.02	-2.40470844111874955036478136	-0.777554357299670805755401129	-2.074251510504215333482279688
1.05	-2.244436389755874941547307567	-1.040736559374260376894332215	-2.156205926121190079548691992
1.08	-2.057791400675614608240698009	-1.290545611310276381290803338	-2.225569373762277712553468921
1.11	-1.846431466056118884648397242	-1.524346565863158876237135891	-2.281849348043609081259376693
1.14	-1.612272156602148462356587814	-1.739674743427723446109387401	-2.324621087802083896080827877
1.17	-1.357467165087829131088468495	-1.934261127032234142097713744	-2.353529647869881737794431438
1.2	-1.084385638398115693972570815	-2.106054898310017645680414604	-2.368291793427334970095581973
1.23	-0.79558910603754730835037955	-2.253241573558812416707412402	-2.368697738642550261636590168
1.26	-0.493809366780268221940613723	-2.374258423997246804209317502	-2.354612742019509974284125209
1.29	-0.18192524475227122539096019	-2.46780938232254238626072031	-2.325978560316783962411257462
1.32	0.137064439201005419096602346	-2.532878912312187903914270758	-2.282814751661152841292367586
1.35	0.460070998662878900330887023	-2.568742554174678706609885046	-2.225219807196421993747278306
1.38	0.783945747362071023828725771	-2.574973503884576618858635043	-2.153372079920229441973438066
1.41	1.10550779585136331229223148	-2.551446888320827165315829463	-2.067530469896453282793388674
1.44	1.421571527399971773960077839	-2.498342929451269296917772388	-1.968034817368290728081026227
1.47	1.72897639791977002048858797	-2.416147827028771420566745357	-1.855305949943933956487397863
1.5	2.024619097913632709151946754	-2.305650430153583758085974686	-1.729845327388751768191656841
1.53	2.305485485913466692439824454	-2.167934665397135506528514773	-1.59223422791474861435766272
1.56	2.568680079606879090486879816	-2.00436963872260637834871844	-1.443132423342459016069376685
1.59	2.811453396876432536146685774	-1.816598745148151803174944823	-1.283276297092495178085804716
1.62	3.03122891220690374262202475	-1.606526754179786502815932655	-1.113476368443504677212943354
1.65	3.22563031555743475918543095	-1.376302699043705515508454091	-0.934614198501098397372198558
1.68	3.392507708934119821309723503	-1.128297985178463704602828267	-0.747638667331803971331867266
1.71	3.529960799760697023783217432	-0.865081653917723201674196044	-0.553561627065835983322424237
1.74	3.636358494808091601019726717	-0.589395265676268344190319712	-0.35345295169900281602909592
1.77	3.710355769912867153759308185	-0.304127784394739687771732498	-0.1484350200038254071643472369
1.8	3.750908587906151223545245227	-0.012288558994814843274704981	0.0603233174422613622723449391
1.83	3.757286318682027441158295934	0.283023317762817249230732606	0.27161322338283076728622496
1.86	3.729080380347784505344131301	0.578652456155150639724739517	0.484192737292802085944706078
1.89	3.666208629066476954467391294	0.871420524558220722290748214	0.696793936206842499158203342
1.92	3.56891635115269163644655512	1.158157335995126346102195342	0.908130308633597921316880987
