n  	ecc02                  	ecc04                 	ecc06                  
-16	4.225353157849953e-29  	2.8196432070641827e-24	1.9080900533629916e-21 
-15	2.8398535887958528e-27 	9.384813060538564e-23 	4.167230265957608e-20  
-14	1.3634540076536615e-25 	2.2344127168447445e-21	6.523293455436238e-19  
-13	4.0439931141445945e-24 	3.2631594923674077e-20	6.184036430028623e-18  
-12	3.888102334753736e-23  	1.805611124822129e-19 	2.8126740601721265e-17 
-11	1.5837566709966134e-20 	3.300780036071299e-17 	2.938695419952845e-15  
-10	1.3424019326331538e-18 	1.3848957352219283e-15	8.08537861578979e-14   
-9 	7.579452817543499e-17  	3.887600328736875e-14 	1.4988793791070358e-12 
-8 	2.939355986734077e-15  	7.492738954989867e-13 	1.9063319071958577e-11 
-7 	4.579201969985393e-14  	5.706368016056055e-12 	9.303459518894842e-11  
-6 	4.2199864910535236e-12 	2.7386256331560377e-10	3.1918187319910917e-9  
-5 	4.68047824891887e-10   	1.501719680187165e-8  	1.1453921146651626e-7  
-4 	2.885546151764819e-8   	4.612361119425446e-7  	2.331198798788208e-6   
-3 	6.506871357983113e-7   	5.148610798753894e-6  	0.000017054091852439926
-2 	0.000027616386595286743	0.00011026237049188445	0.0002473851251261624  
-1 	0.007568368253991576   	0.015134851101144115  	0.022698578184220778   
0  	0.08602363832910927    	0.08472635111960487   	0.08245071455205852    
1  	0.007568368253991576   	0.015134851101144115  	0.022698578184220778   
2  	0.000027616386595286743	0.00011026237049188445	0.0002473851251261624  
3  	6.506871357983113e-7   	5.148610798753894e-6  	0.000017054091852439926
4  	2.885546151764819e-8   	4.612361119425446e-7  	2.331198798788208e-6   
5  	4.68047824891887e-10   	1.501719680187165e-8  	1.1453921146651626e-7  
6  	4.2199864910535236e-12 	2.7386256331560377e-10	3.1918187319910917e-9  
7  	4.579201969985393e-14  	5.706368016056055e-12 	9.303459518894842e-11  
8  	2.939355986734077e-15  	7.492738954989867e-13 	1.9063319071958577e-11 
9  	7.579452817543499e-17  	3.887600328736875e-14 	1.4988793791070358e-12 
10 	1.3424019326331538e-18 	1.3848957352219283e-15	8.08537861578979e-14   
11 	1.5837566709966134e-20 	3.300780036071299e-17 	2.938695419952845e-15  
12 	3.888102334753736e-23  	1.805611124822129e-19 	2.8126740601721265e-17 
13 	4.0439931141445945e-24 	3.2631594923674077e-20	6.184036430028623e-18  
14 	1.3634540076536615e-25 	2.2344127168447445e-21	6.523293455436238e-19  
15 	2.8398535887958528e-27 	9.384813060538564e-23 	4.167230265957608e-20  
16 	4.225353157849953e-29  	2.8196432070641827e-24	1.9080900533629916e-21 
