k	ecc0.2	ecc0.4	ecc0.6
-16	2.4009279050217398e-20	1.3808587009727716e-19	7.215172985013756e-19
-15	0.	0.	0.
-14	6.946710620781777e-18	3.110043479208874e-17	1.309987044572833e-16
-13	0.	0.	0.
-12	1.9939276207313317e-15	6.936577940499871e-15	2.353451125301379e-14
-11	0.	0.	0.
-10	5.658126397685779e-13	1.5270652619254738e-12	4.1675717631922205e-12
-9	0.	0.	0.
-8	1.5766444578631024e-10	3.300601333946172e-10	7.227891482360244e-10
-7	0.	0.	0.
-6	4.251218426230864e-8	6.934776816016121e-8	1.2132655221233528e-7
-5	0.	0.	0.
-4	0.000010697266839879812	0.000013825500166311941	0.000019209041292632666
-3	0.	0.	0.
-2	0.0022583780263996664	0.0024064249220313375	0.0026508589185287026
-1	0.	0.	0.
0	0.5293537503181691	0.5269935312230175	0.5230205753629136
1	0.	0.	0.
2	0.0022583780263996664	0.0024064249220313375	0.0026508589185287026
3	0.	0.	0.
4	0.000010697266839879812	0.000013825500166311941	0.000019209041292632666
5	0.	0.	0.
6	4.251218426230864e-8	6.934776816016121e-8	1.2132655221233528e-7
7	0.	0.	0.
8	1.5766444578631024e-10	3.300601333946172e-10	7.227891482360244e-10
9	0.	0.	0.
10	5.658126397685779e-13	1.5270652619254738e-12	4.1675717631922205e-12
11	0.	0.	0.
12	1.9939276207313317e-15	6.936577940499871e-15	2.353451125301379e-14
13	0.	0.	0.
14	6.946710620781777e-18	3.110043479208874e-17	1.309987044572833e-16
15	0.	0.	0.
16	2.4009279050217398e-20	1.3808587009727716e-19	7.215172985013756e-19
