n	ecc0.2	ecc0.4	ecc0.6
-16	4.2253526751445036e-29	2.8196431031318894e-24	1.9080900095553636e-21
-15	2.8398667092068114e-27	9.384824437910683e-23	4.167232699603747e-20
-14	1.3634516894892333e-25	2.2344114763613758e-21	6.523291154493546e-19
-13	4.044617213184085e-24	3.26329399365409e-20	6.184163036975741e-18
-12	3.889192899439472e-23	1.8057561610644372e-19	2.812792447992684e-17
-11	1.5808582809493166e-20	3.2992276199117785e-17	2.9380523549384003e-15
-10	1.342900730017084e-18	1.3850605999217493e-15	8.085970823138994e-14
-9	7.449297883425519e-17	3.8702746458173405e-14	1.4957210839083317e-12
-8	2.961257198109331e-15	7.510729737198473e-13	1.909175790638336e-11
-7	9.768992614775804e-15	3.868229329442332e-12	7.828920518538663e-11
-6	3.3184498492030755e-12	2.554572297586256e-10	3.063785983327356e-9
-5	2.6462395153486605e-9	3.292666222585046e-8	1.7776237763751084e-7
-4	4.131788068100617e-9	2.9386333704496474e-7	1.8188357240013197e-6
-3	0.00007238076957825912	0.00015172575508677212	0.00024476063209179894
-2	0.0008776368652527602	0.0010312673051623708	0.001290400697820097
-1	1.3047583497129336	0.6513790690650365	0.4329967946454889
0	0.5293537503181691	0.5269935312230175	0.5230205753629136
1	1.3047583497129336	0.6513790690650365	0.4329967946454889
2	0.0008776368652527602	0.0010312673051623708	0.001290400697820097
3	0.00007238076957825912	0.00015172575508677212	0.00024476063209179894
4	4.131788068100617e-9	2.9386333704496474e-7	1.8188357240013197e-6
5	2.6462395153486605e-9	3.292666222585046e-8	1.7776237763751084e-7
6	3.3184498492030755e-12	2.554572297586256e-10	3.063785983327356e-9
7	9.768992614775804e-15	3.868229329442332e-12	7.828920518538663e-11
8	2.961257198109331e-15	7.510729737198473e-13	1.909175790638336e-11
9	7.449297883425519e-17	3.8702746458173405e-14	1.4957210839083317e-12
10	1.342900730017084e-18	1.3850605999217493e-15	8.085970823138994e-14
11	1.5808582809493166e-20	3.2992276199117785e-17	2.9380523549384003e-15
12	3.889192899439472e-23	1.8057561610644372e-19	2.812792447992684e-17
13	4.044617213184085e-24	3.26329399365409e-20	6.184163036975741e-18
14	1.3634516894892333e-25	2.2344114763613758e-21	6.523291154493546e-19
15	2.8398667092068114e-27	9.384824437910683e-23	4.167232699603747e-20
16	4.2253526751445036e-29	2.8196431031318894e-24	1.9080900095553636e-21
